iter	Passed	Remaining
399	35202	80965
400	35287	80871
401	35374	80779
402	35459	80685
403	35549	80603
404	35634	80507
405	35721	80416
406	35807	80325
407	35896	80239
408	35984	80150
409	36070	80058
410	36156	79965
411	36244	79878
412	36334	79796
413	36423	79708
414	36509	79617
415	36597	79528
416	36685	79441
417	36773	79353
418	36865	79273
419	36957	79194
420	37043	79101
421	37132	79017
422	37223	78935
423	37311	78846
424	37397	78755
425	37486	78669
426	37572	78576
427	37662	78492
428	37747	78398
429	37836	78312
430	37923	78222
431	38013	78138
432	38104	78056
433	38191	77967
434	38279	77878
435	38366	77789
436	38455	77702
437	38539	77607
438	38626	77516
439	38713	77427
440	38803	77342
441	38890	77252
442	38979	77167
443	39070	77085
444	39158	76997
445	39245	76906
446	39333	76819
447	39420	76728
448	39509	76642
449	39597	76554
450	39685	76466
451	39770	76374
452	39856	76281
453	39942	76189
454	40027	76096
455	40116	76009
456	40203	75921
457	40292	75835
458	40379	75744
459	40466	75654
460	40553	75564
461	40639	75473
462	40746	75419
463	40831	75326
464	40916	75234
465	41002	75142
466	41089	75051
467	41177	74965
468	41268	74881
469	41355	74791
470	41442	74701
471	41528	74611
472	41619	74527
473	41705	74435
474	41793	74348
475	41879	74256
476	41969	74172
477	42059	74087
478	42151	74007
479	42238	73917
480	42326	73828
481	42416	73744
482	42509	73666
483	42604	73590
484	42696	73507
485	42786	73423
486	42871	73330
487	42961	73245
488	43051	73161
489	43138	73070
490	43223	72977
491	43309	72887
492	43396	72796
493	43483	72707
494	43570	72617
495	43656	72526
496	43745	72439
497	43835	72354
498	43922	72265
499	44007	72172
500	44091	72077
501	44179	71989
502	44266	71900
503	44352	71809
504	44440	71720
505	44528	71632
506	44614	71541
507	44700	71451
508	44786	71359
509	44874	71271
510	44963	71184
511	45048	71092
512	45134	71001
513	45221	70911
514	45306	70818
515	45392	70728
516	45480	70639
517	45567	70550
518	45654	70460
519	45743	70374
520	45833	70289
521	45921	70201
522	46010	70115
523	46096	70025
524	46182	69933
525	46268	69843
526	46354	69752
527	46440	69661
528	46530	69575
529	46616	69485
530	46705	69398
531	46792	69309
532	46880	69221
533	46968	69133
534	47053	69040
535	47139	68950
536	47224	68858
537	47312	68769
538	47401	68683
539	47491	68599
540	47579	68510
541	47669	68425
542	47753	68331
543	47841	68244
544	47928	68155
545	48016	68067
546	48105	67981
547	48191	67890
548	48279	67802
549	48364	67710
550	48453	67623
551	48542	67536
552	48630	67449
553	48718	67361
554	48805	67272
555	48889	67178
556	48974	67087
557	49059	66995
558	49145	66905
559	49233	66816
560	49319	66726
561	49408	66639
562	49496	66552
563	49588	66469
564	49675	66380
565	49765	66296
566	49855	66209
567	49945	66124
568	50034	66038
569	50125	65954
570	50223	65879
571	50313	65795
572	50406	65713
573	50496	65627
574	50586	65543
575	50676	65457
576	50771	65378
577	50862	65293
578	50955	65211
579	51049	65131
580	51145	65054
581	51244	64979
582	51335	64896
583	51432	64819
584	51524	64736
585	51619	64656
586	51705	64566
587	51796	64481
588	51887	64396
589	51979	64313
590	52066	64224
591	52158	64141
592	52256	64065
593	52344	63976
594	52434	63890
595	52523	63804
596	52613	63717
597	52701	63629
598	52797	63551
599	52887	63465
600	52978	63380
601	53073	63300
602	53166	63217
603	53252	63127
604	53338	63035
605	53427	62949
606	53516	62862
607	53605	62775
608	53695	62688
609	53784	62601
610	53873	62514
611	53961	62426
612	54049	62338
613	54138	62250
614	54227	62163
615	54316	62075
616	54402	61985
617	54493	61900
618	54579	61809
619	54670	61724
620	54759	61637
621	54844	61546
622	54932	61457
623	55021	61369
624	55112	61284
625	55202	61198
626	55295	61115
627	55388	61032
628	55480	60949
629	55576	60869
630	55671	60788
631	55766	60707
632	55855	60620
633	55945	60533
634	56033	60446
635	56124	60360
636	56210	60269
637	56298	60181
638	56388	60095
639	56474	60004
640	56560	59913
641	56651	59828
642	56740	59740
643	56829	59653
644	56916	59563
645	57002	59473
646	57092	59386
647	57181	59299
648	57267	59209
649	57359	59124
650	57450	59039
651	57541	58953
652	57631	58867
653	57723	58782
654	57809	58691
655	57901	58607
656	57989	58519
657	58081	58434
658	58166	58343
659	58255	58255
660	58351	58174
661	58436	58082
662	58523	57994
663	58610	57904
664	58699	57816
665	58785	57726
666	58878	57642
667	58969	57556
668	59055	57466
669	59143	57378
670	59232	57290
671	59322	57204
672	59411	57116
673	59498	57027
674	59589	56940
675	59676	56851
676	59767	56765
677	59852	56674
678	59939	56585
679	60026	56495
680	60111	56403
681	60197	56313
682	60286	56226
683	60376	56139
684	60461	56048
685	60545	55955
686	60632	55866
687	60719	55777
688	60810	55691
689	60898	55602
690	60984	55513
691	61075	55426
692	61162	55337
693	61252	55250
694	61338	55160
695	61428	55073
696	61515	54984
697	61603	54896
698	61691	54807
699	61778	54717
700	61866	54629
701	61952	54539
702	62037	54447
703	62129	54363
704	62216	54273
705	62305	54186
706	62390	54095
707	62478	54007
708	62571	53922
709	62659	53834
710	62745	53744
711	62833	53655
712	62921	53566
713	63008	53477
714	63096	53389
715	63185	53301
716	63274	53214
717	63361	53124
718	63448	53035
719	63535	52945
720	63618	52853
721	63705	52763
722	63794	52676
723	63880	52586
724	63967	52497
725	64053	52407
726	64145	52322
727	64232	52233
728	64320	52144
729	64407	52055
730	64498	51969
731	64591	51884
732	64678	51795
733	64768	51709
734	64855	51619
735	64949	51536
736	65042	51451
737	65134	51366
738	65223	51278
739	65314	51192
740	65406	51106
741	65495	51019
742	65592	50938
743	65696	50861
744	65790	50777
745	65884	50694
746	65973	50606
747	66062	50518
748	66152	50431
749	66238	50341
750	66331	50256
751	66418	50167
752	66504	50077
753	66602	49996
754	66695	49911
755	66786	49824
756	66887	49745
757	66990	49668
758	67104	49598
759	67205	49519
760	67300	49436
761	67393	49351
762	67485	49265
763	67579	49180
764	67672	49095
765	67761	49007
766	67849	48919
767	67949	48838
768	68060	48766
769	68158	48684
770	68253	48600
771	68342	48512
772	68426	48421
773	68512	48330
774	68594	48237
775	68678	48145
776	68760	48052
777	68848	47963
778	68931	47871
779	69015	47780
780	69100	47689
781	69185	47597
782	69269	47507
783	69354	47415
784	69439	47324
785	69524	47234
786	69611	47144
787	69694	47052
788	69780	46962
789	69865	46871
790	69957	46785
791	70051	46700
792	70143	46614
793	70237	46530
794	70330	46444
795	70418	46355
796	70508	46268
797	70598	46181
798	70696	46098
799	70785	46010
800	70867	45917
801	70949	45824
802	71032	45733
803	71116	45641
804	71201	45551
805	71287	45460
806	71371	45369
807	71453	45277
808	71538	45186
809	71621	45095
810	71707	45005
811	71794	44915
812	71880	44825
813	71965	44735
814	72047	44642
815	72130	44550
816	72212	44459
817	72296	44367
818	72380	44276
819	72466	44186
820	72555	44098
821	72642	44009
822	72727	43919
823	72810	43827
824	72898	43739
825	72984	43649
826	73070	43559
827	73158	43470
828	73241	43379
829	73328	43290
830	73414	43200
831	73497	43108
832	73580	43017
833	73666	42927
834	73749	42836
835	73834	42746
836	73922	42657
837	74007	42567
838	74091	42476
839	74175	42386
840	74264	42297
841	74345	42205
842	74431	42115
843	74515	42025
844	74602	41936
845	74690	41847
846	74776	41758
847	74861	41668
848	74946	41578
849	75032	41488
850	75116	41398
851	75200	41307
852	75283	41215
853	75368	41126
854	75453	41036
855	75543	40948
856	75627	40858
857	75713	40768
858	75796	40677
859	75884	40589
860	75970	40500
861	76056	40410
862	76141	40320
863	76252	40244
864	76341	40156
865	76424	40065
866	76513	39977
867	76600	39888
868	76685	39798
869	76771	39709
870	76855	39619
871	76959	39538
872	77048	39451
873	77135	39361
874	77221	39272
875	77305	39182
876	77391	39092
877	77477	39003
878	77561	38912
879	77648	38824
880	77731	38733
881	77819	38645
882	77904	38555
883	77993	38467
884	78082	38379
885	78166	38289
886	78252	38199
887	78336	38109
888	78423	38020
889	78512	37932
890	78596	37842
891	78680	37752
892	78764	37662
893	78850	37572
894	78937	37484
895	79021	37394
896	79106	37304
897	79191	37214
898	79280	37126
899	79365	37037
900	79452	36948
901	79540	36860
902	79627	36771
903	79713	36682
904	79795	36591
905	79880	36501
906	79968	36413
907	80054	36324
908	80139	36234
909	80230	36147
910	80316	36058
911	80401	35969
912	80488	35880
913	80577	35792
914	80661	35702
915	80745	35612
916	80826	35521
917	80909	35430
918	80994	35341
919	81080	35252
920	81161	35161
921	81245	35071
922	81331	34982
923	81420	34894
924	81506	34805
925	81603	34721
926	81695	34634
927	81781	34545
928	81866	34456
929	81951	34366
930	82035	34276
931	82119	34187
932	82203	34097
933	82287	34007
934	82367	33916
935	82453	33826
936	82536	33737
937	82621	33647
938	82704	33557
939	82784	33466
940	82866	33375
941	82947	33284
942	83030	33194
943	83121	33107
944	83208	33019
945	83296	32931
946	83384	32843
947	83469	32753
948	83551	32663
949	83639	32575
950	83730	32488
951	83814	32398
952	83899	32309
953	83986	32221
954	84073	32132
955	84162	32045
956	84267	31963
957	84353	31874
958	84438	31785
959	84523	31696
960	84603	31605
961	84686	31515
962	84770	31425
963	84853	31336
964	84939	31247
965	85020	31156
966	85104	31067
967	85189	30978
968	85273	30888
969	85358	30799
970	85443	30710
971	85527	30621
972	85610	30531
973	85692	30441
974	85775	30351
975	85857	30261
976	85942	30172
977	86028	30083
978	86115	29995
979	86198	29905
980	86285	29817
981	86369	29728
982	86453	29638
983	86537	29549
984	86619	29459
985	86705	29370
986	86792	29282
987	86876	29193
988	86964	29105
989	87056	29018
990	87144	28930
991	87228	28841
992	87314	28753
993	87401	28665
994	87486	28575
995	87571	28487
996	87657	28398
997	87742	28309
998	87831	28222
999	87918	28134
1000	88006	28046
1001	88090	27956
1002	88175	27868
1003	88260	27779
1004	88346	27690
1005	88433	27602
1006	88521	27514
1007	88608	27426
1008	88693	27337
1009	88780	27249
1010	88862	27159
1011	88950	27071
1012	89041	26984
1013	89124	26895
1014	89208	26806
1015	89293	26717
1016	89382	26630
1017	89469	26541
1018	89552	26452
1019	89639	26364
1020	89723	26275
1021	89805	26185
1022	89895	26098
1023	89982	26010
1024	90067	25921
1025	90152	25833
1026	90241	25745
1027	90328	25657
1028	90411	25568
1029	90494	25479
1030	90579	25390
1031	90663	25301
1032	90750	25213
1033	90835	25124
1034	90917	25035
1035	91005	24947
1036	91090	24858
1037	91179	24771
1038	91264	24682
1039	91351	24594
1040	91437	24506
1041	91528	24419
1042	91614	24331
1043	91701	24242
1044	91789	24155
1045	91880	24068
1046	91971	23981
1047	92065	23894
1048	92158	23808
1049	92260	23724
1050	92354	23637
1051	92450	23552
1052	92546	23466
1053	92637	23379
1054	92732	23292
1055	92825	23206
1056	92914	23118
1057	93004	23031
1058	93099	22945
1059	93192	22858
1060	93281	22770
1061	93364	22681
1062	93454	22594
1063	93540	22505
1064	93624	22417
1065	93707	22328
1066	93790	22238
1067	93875	22150
1068	93959	22061
1069	94042	21972
1070	94128	21884
1071	94214	21795
1072	94298	21707
1073	94381	21618
1074	94465	21529
1075	94548	21440
1076	94636	21352
1077	94722	21264
1078	94807	21175
1079	94892	21087
1080	94979	20999
1081	95068	20911
1082	95153	20822
1083	95237	20734
1084	95323	20646
1085	95408	20557
1086	95494	20469
1087	95577	20380
1088	95661	20291
1089	95747	20203
1090	95828	20114
1091	95911	20025
1092	96000	19937
1093	96088	19850
1094	96170	19761
1095	96253	19672
1096	96336	19583
1097	96422	19495
1098	96507	19406
1099	96590	19318
1100	96672	19229
1101	96758	19140
1102	96843	19052
1103	96930	18964
1104	97024	18878
1105	97113	18790
1106	97203	18703
1107	97293	18615
1108	97380	18527
1109	97473	18440
1110	97563	18353
1111	97650	18265
1112	97740	18178
1113	97828	18090
1114	97918	18003
1115	98004	17914
1116	98094	17827
1117	98177	17738
1118	98263	17650
1119	98346	17561
1120	98431	17473
1121	98514	17384
1122	98601	17296
1123	98688	17209
1124	98771	17120
1125	98856	17032
1126	98943	16944
1127	99033	16856
1128	99115	16767
1129	99199	16679
1130	99283	16591
1131	99367	16502
1132	99453	16414
1133	99536	16326
1134	99620	16237
1135	99703	16149
1136	99788	16060
1137	99875	15972
1138	99960	15884
1139	100044	15796
1140	100127	15708
1141	100213	15619
1142	100295	15531
1143	100378	15442
1144	100461	15354
1145	100545	15266
1146	100631	15178
1147	100714	15089
1148	100796	15001
1149	100877	14912
1150	100962	14824
1151	101046	14735
1152	101128	14647
1153	101211	14559
1154	101298	14471
1155	101380	14382
1156	101467	14294
1157	101552	14206
1158	101638	14118
1159	101727	14031
1160	101813	13943
1161	101902	13855
1162	101986	13767
1163	102072	13679
1164	102158	13591
1165	102243	13503
1166	102330	13416
1167	102417	13328
1168	102505	13240
1169	102593	13153
1170	102682	13065
1171	102768	12977
1172	102858	12890
1173	102945	12802
1174	103031	12714
1175	103117	12626
1176	103203	12538
1177	103290	12450
1178	103373	12362
1179	103457	12274
1180	103541	12186
1181	103626	12098
1182	103713	12010
1183	103797	11922
1184	103883	11834
1185	103966	11746
1186	104055	11659
1187	104137	11570
1188	104221	11482
1189	104301	11394
1190	104384	11306
1191	104466	11217
1192	104549	11129
1193	104634	11041
1194	104720	10954
1195	104801	10865
1196	104886	10777
1197	104968	10689
1198	105052	10601
1199	105134	10513
1200	105219	10425
1201	105301	10337
1202	105390	10249
1203	105485	10163
1204	105574	10075
1205	105662	9987
1206	105744	9899
1207	105828	9811
1208	105919	9724
1209	106008	9637
1210	106096	9549
1211	106186	9462
1212	106272	9374
1213	106354	9286
1214	106438	9198
1215	106522	9110
1216	106611	9022
1217	106698	8935
1218	106780	8847
1219	106866	8759
1220	106953	8671
1221	107038	8584
1222	107124	8496
1223	107212	8408
1224	107302	8321
1225	107390	8233
1226	107478	8146
1227	107568	8058
1228	107656	7971
1229	107741	7883
1230	107825	7795
1231	107909	7707
1232	107994	7620
1233	108080	7532
1234	108166	7444
1235	108254	7357
1236	108339	7269
1237	108422	7181
1238	108510	7093
1239	108595	7006
1240	108678	6918
1241	108763	6830
1242	108851	6743
1243	108945	6655
1244	109034	6568
1245	109121	6480
1246	109208	6393
1247	109296	6305
1248	109386	6218
1249	109472	6130
1250	109556	6042
1251	109644	5955
1252	109750	5868
1253	109856	5781
1254	109959	5695
1255	110057	5608
1256	110157	5521
1257	110254	5433
1258	110357	5346
1259	110453	5259
1260	110545	5172
1261	110639	5084
1262	110746	4998
1263	110850	4911
1264	110963	4824
1265	111065	4737
1266	111157	4649
1267	111248	4562
1268	111337	4474
1269	111425	4386
1270	111510	4298
1271	111597	4211
1272	111681	4123
1273	111767	4035
1274	111854	3947
1275	111940	3860
1276	112027	3772
1277	112112	3684
1278	112195	3596
1279	112281	3508
1280	112364	3420
1281	112446	3333
1282	112529	3245
1283	112613	3157
1284	112699	3069
1285	112785	2981
1286	112872	2894
1287	112958	2806
1288	113045	2718
1289	113129	2630
1290	113217	2543
1291	113302	2455
1292	113386	2367
1293	113472	2279
1294	113557	2192
1295	113645	2104
1296	113730	2016
1297	113815	1929
1298	113902	1841
1299	113987	1753
1300	114074	1665
1301	114157	1578
1302	114243	1490
1303	114329	1402
1304	114417	1315
1305	114502	1227
1306	114587	1139
1307	114673	1052
1308	114764	964
1309	114847	876
1310	114931	789
1311	115016	701
1312	115102	613
1313	115189	525
1314	115274	438
1315	115360	350
1316	115443	262
1317	115528	175
1318	115616	87
1319	115703	0
